bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,result_status,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,notes,inferred_from_video_id,inferred_from_video_title,inferred_confidence
emperor-114-g4yds9beona,emperor-114,emperor,2,ライト級,lightweight,one_match,unknown,,07分51秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-ndbe7c7364326 lines 31-42.,youtube_g4yds9beona,フルファイト！クレイエル・アビソカvsステシエン・チェット エンペラーNo.114 ライト級ワンマッチ,high
emperor-114-s8_61fzru0,emperor-114,emperor,3,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-ndbe7c7364326 lines 46-58.,youtube_s8_61fzru0,フルファイト！ダイス・ヴォルケードvsダートソン エンペラーNo.114 ミドル級ワンマッチ,high
emperor-114-agecfmrimag,emperor-114,emperor,4,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_agecfmrimag,フルファイト！チャールス・ブランディンvsさかえだ エンペラーNo.114 ミドル級ワンマッチ,high
emperor-114-ckhfjmv2gfe,emperor-114,emperor,5,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_ckhfjmv2gfe,フルファイト！ヴァン・ブルックスvsアトゥリうえはら エンペラーNo.114 ミドル級ワンマッチ,high
emperor-115-1xiijizqf6k,emperor-115,emperor,1,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-nf311a5b3c239 lines 4-4.,youtube_1xiijizqf6k,フルファイト！さくらいvsステシエン・チェット エンペラーNo.115 ライト級ワンマッチ,high
emperor-115-cx_ge_lrruq,emperor-115,emperor,2,ライト級,lightweight,one_match,unknown,,19分11秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-nf311a5b3c239 lines 31-42.,youtube_cx_ge_lrruq,フルファイト！ゆめろうvsクレイエル・アビソカ エンペラーNo.115 ライト級ワンマッチ,high
emperor-115-f1d9nd7knz4,emperor-115,emperor,3,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-nf311a5b3c239 lines 46-58.,youtube_f1d9nd7knz4,フルファイト！コルト・アプローvsパット・バミューダ エンペラーNo.115 ライト級ワンマッチ,high
emperor-115-5zxi7yo4qzm,emperor-115,emperor,4,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_5zxi7yo4qzm,フルファイト！ダートソンvsアトゥリうえはら エンペラーNo.115 ミドル級ワンマッチ,high
emperor-115-qwxsvgtscqe,emperor-115,emperor,5,ライト級,lightweight,title_match,unknown,,,,,,,true,emperor-lightweight,change,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_qwxsvgtscqe,フルファイト！マルコ・フレイザーvsブルーワン エンペラーNo.115 ライト級タイトルマッチ,high
emperor-116-gfmu865mz7a,emperor-116,emperor,1,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n3f97c679c3d2 lines 4-4.,youtube_gfmu865mz7a,フルファイト！さかえだvsダイス・ヴォルケード エンペラーNo.116 ミドル級ワンマッチ,high
