video_id,platform,platform_video_id,url,title,original_title,channel_name,published_at,official_status,video_type,link_status,duplicate_group_id,duplicate_note,notes,source_article_ids
youtube_rp8bayj7s6k,youtube,Rp8BaYj7S6k,https://www.youtube.com/watch?v=Rp8BaYj7S6k,感謝と告知！！！,感謝と告知！！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:44,
youtube_sbc41eyw5q8,youtube,sBc41eyw5Q8,https://www.youtube.com/watch?v=sBc41eyw5Q8,感謝,感謝,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:48,
youtube_gehfaqj8kr8,youtube,GeHFAqj8Kr8,https://www.youtube.com/watch?v=GeHFAqj8Kr8,マウンテン・ヒーローズNo.32見どころ解説！！【概要欄重要】,マウンテン・ヒーローズNo.32見どころ解説！！【概要欄重要】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=15:18,
youtube_jzzlbf7zqqu,youtube,JzzLBF7ZqQU,https://www.youtube.com/watch?v=JzzLBF7ZqQU,マウンテン・ヒーローズNo.30の見どころ！！【概要欄を見ながらどうぞ】,マウンテン・ヒーローズNo.30の見どころ！！【概要欄を見ながらどうぞ】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:04,
youtube_jijmeqchrw4,youtube,JIjmEqcHrw4,https://www.youtube.com/watch?v=JIjmEqcHrw4,マウンテン・ヒーローズNo.29の見どころ！！【絶対概要欄見てね】,マウンテン・ヒーローズNo.29の見どころ！！【絶対概要欄見てね】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=15:42,
youtube_gmcs_m19ofq,youtube,gmcs-M19OFQ,https://www.youtube.com/watch?v=gmcs-M19OFQ,マウンテン・ヒーローズNo.28&ターゲットNo.91&エンペラーNo.112合同大会の見どころなど！！【試合動画は23日（日）のお昼頃に】,マウンテン・ヒーローズNo.28&ターゲットNo.91&エンペラーNo.112合同大会の見どころなど！！【試合動画は23日（日）のお昼頃に】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:08,
youtube_r6jsisqetvg,youtube,r6JSisqeTVg,https://www.youtube.com/watch?v=r6JSisqeTVg,ターゲットNo.95の見どころ解説！！【概要欄重要】,ターゲットNo.95の見どころ解説！！【概要欄重要】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=18:53,
youtube_rf00mmmm8m0,youtube,rf00mMmM8M0,https://www.youtube.com/watch?v=rf00mMmM8M0,ターゲットNo.93の見どころ！！【概要欄を見ながらどうぞ】（＊B1は国内マイナー団体です）,ターゲットNo.93の見どころ！！【概要欄を見ながらどうぞ】（＊B1は国内マイナー団体です）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=15:04,
youtube_r8kxhrjjwgi,youtube,R8KxHrJjWgI,https://www.youtube.com/watch?v=R8KxHrJjWgI,ターゲットNo.92の見どころ！！【概要欄を絶対見て】,ターゲットNo.92の見どころ！！【概要欄を絶対見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:13,
youtube_ygdml5_nuhe,youtube,YGdML5_nUHE,https://www.youtube.com/watch?v=YGdML5_nUHE,ターゲットNo.92&エンペラーNo.113の全KO一本集【全試合FINISH記念】,ターゲットNo.92&エンペラーNo.113の全KO一本集【全試合FINISH記念】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=9:49,
