video_id,url,title,line_number,line_type,line_text
MZsxwh-pvtQ,https://www.youtube.com/watch?v=MZsxwh-pvtQ,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Aブロック イスカン・アステvsマルコ・フレイザー,19,event,⑥【9勝2敗】⑦エンペラー⑧2回目
MZsxwh-pvtQ,https://www.youtube.com/watch?v=MZsxwh-pvtQ,Full Fight！第7回 MAXバウトライト級トーナメント二回戦Aブロック イスカン・アステvsマルコ・フレイザー,21,event,元エンペラーライト級王者
N9hp48KuQP4,https://www.youtube.com/watch?v=N9hp48KuQP4,【煽りのみ】クロノ・マリーケンvsオーシューワイルド　マウンテン・ヒーローズNo.37 ミドル級ワンマッチ,2,event,マウンテン・ヒーローズNo.37
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,3,event,ターゲットNo.101
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,16,event,『アラカクライブNo.16【秋の陣】』
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,30,youtube_url,https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,39,event,アラカクライブNo.13
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,40,youtube_url,https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,42,event,アラカクライブNo.14
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,43,youtube_url,https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,45,event,アラカクライブNo.15
NP5jzWCHXI0,https://www.youtube.com/watch?v=NP5jzWCHXI0,【クロコップ荒木の実況付き】Full Fight！ザモンvsオーロラデビル　ターゲットNo.101 ミドル級ワンマッチ,46,youtube_url,https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl
O3FMY6uqse0,https://www.youtube.com/watch?v=O3FMY6uqse0,Full Fight！トルー・パルドレスvsクロノ・マリーケン マウンテン・ヒーローズNo.27 ミドル級ワンマッチ,1,event,マウンテン・ヒーローズNo.27第二試合
O3FMY6uqse0,https://www.youtube.com/watch?v=O3FMY6uqse0,Full Fight！トルー・パルドレスvsクロノ・マリーケン マウンテン・ヒーローズNo.27 ミドル級ワンマッチ,22,note_url,https://note.com/xyz1090
O3FMY6uqse0,https://www.youtube.com/watch?v=O3FMY6uqse0,Full Fight！トルー・パルドレスvsクロノ・マリーケン マウンテン・ヒーローズNo.27 ミドル級ワンマッチ,32,youtube_url,https://youtu.be/IY1WaJ22vP0
