article_id,article_title,url,line_number,line_type,line_text
note-ne16015350a06,第7回MAXバウトライト級GP二回戦Aブロック対戦カード,https://note.com/xyz1090/n/ne16015350a06,31,matchup,第7回MAXバウトライト級GP二回戦Aブロック対戦カード
note-ne16015350a06,第7回MAXバウトライト級GP二回戦Aブロック対戦カード,https://note.com/xyz1090/n/ne16015350a06,50,result,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
note-na3a5e6156f2f,ターゲットNo.99試合結果,https://note.com/xyz1090/n/na3a5e6156f2f,59,result_with_time,（1R2分52秒 RNC）
note-nbc890e143fa9,マウンテン・ヒーローズNo.35試合結果,https://note.com/xyz1090/n/nbc890e143fa9,65,result_with_time,（3R終了 判定2-1）
note-n741bee7db1bb,ターゲットNo.99対戦カード,https://note.com/xyz1090/n/n741bee7db1bb,4,matchup,ターゲットNo.99対戦カード｜アラカク通信のーと
note-n741bee7db1bb,ターゲットNo.99対戦カード,https://note.com/xyz1090/n/n741bee7db1bb,31,matchup,ターゲットNo.99対戦カード
note-n741bee7db1bb,ターゲットNo.99対戦カード,https://note.com/xyz1090/n/n741bee7db1bb,46,matchup,ターゲットNo.99対戦カード
note-nd70f3ea8e21b,マウンテン・ヒーローズNo.35対戦カード,https://note.com/xyz1090/n/nd70f3ea8e21b,4,matchup,マウンテン・ヒーローズNo.35対戦カード｜アラカク通信のーと
note-nd70f3ea8e21b,マウンテン・ヒーローズNo.35対戦カード,https://note.com/xyz1090/n/nd70f3ea8e21b,31,matchup,マウンテン・ヒーローズNo.35対戦カード
note-nd70f3ea8e21b,マウンテン・ヒーローズNo.35対戦カード,https://note.com/xyz1090/n/nd70f3ea8e21b,46,matchup,マウンテン・ヒーローズNo.35対戦カード
note-n89a58b4cf383,第7回MAXバウトライト級GP一回戦Bブロック試合結果,https://note.com/xyz1090/n/n89a58b4cf383,51,result_with_time,（3R2分02秒KO 左フック→パウンド）
note-n89a58b4cf383,第7回MAXバウトライト級GP一回戦Bブロック試合結果,https://note.com/xyz1090/n/n89a58b4cf383,57,result_with_time,（2R3分16秒KO パウンド）
note-n89a58b4cf383,第7回MAXバウトライト級GP一回戦Bブロック試合結果,https://note.com/xyz1090/n/n89a58b4cf383,63,result_with_time,（1R2分17秒KO 左ハイキック→パウンド）
note-n7fba6b39d4af,第7回MAXバウトライト級GP一回戦Aブロック試合結果,https://note.com/xyz1090/n/n7fba6b39d4af,51,result_with_time,（1R4分09秒KO 肘打ち→パウンド）
