display_id,webpage_url,fulltitle,uploader,upload_date,duration_string,view_count,like_count,description,archived_at
2ULafpwGt9Q,https://www.youtube.com/watch?v=2ULafpwGt9Q,【きたむらvsつくりはら】（煽り映像付き）Full Fight！ターゲットNo.102 ライト級ワンマッチ,アラカク通信,20260112,9:48,112,3,"ターゲットNo.102対戦カード

☆ライト級ワンマッチ
🟥きたむら
31歳  170cm  VKデリンジャー
【20勝6敗】
🆚
🟦つくりはら
26歳  174cm  バトン柔術
【6勝2敗】

#アラカク #あらかく #格闘技 #架空 #クロコップ #mma",2026-05-28T20:11:42
3Knn6P1E6uU,https://www.youtube.com/watch?v=3Knn6P1E6uU,Full Fight！バンドルフ・ガルブンタvsローリングJr. マウンテン・ヒーローズNo.30 ライト級ワンマッチ,アラカク通信,20231201,5:10,58,,"マウンテン・ヒーローズNo.30

ライト級ワンマッチ
🟥バンドルフ・ガルブンタ30歳 180cm  ミッションズ【4勝4敗】
🆚
🟦ローリングjr 
27歳 186cm チームハーツ
【1勝2敗】


#アラカク 
#あらかく 
#格闘技 
#架空 
#クロコップ",2026-05-28T20:11:42
3iSZAG1C2f0,https://www.youtube.com/watch?v=3iSZAG1C2f0,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第二試合］イスカン・アステvsマルコ・フレイザー【概要欄見て】,アラカク通信,20250116,7:01,72,4,"【ライブ告知】
まによんpresents
『アラカク試合だけのライブNo.2【第7回MAXバウトライト級GP二回戦】』
【日程】2025年1月31日（金）
【会場】新宿ハイジアV1
【開場】19時15分
【開演】19時30分
【最大延長】21時30分
【料金】前売り予約1500円／当日2000円

⚠️アラカクの説明はありません❗️
こちら見てきたらわかりやすいです👀
⬇️
https://youtu.be/yN9h0C5MDHM?si=PxsK3O8R8pYMOshg

ご予約⬇️
https://t.co/6qbZtl1kDF

【第7回MAXバウトライト級GP二回戦Aブロック】🚨①名前②キャッチコピー③年齢④身長⑤所属ジム⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手

☆Aブロック第二試合
🟥 ①イスカン・アステ
②ステゴロの伝説
③33歳④172cm⑤RFチームクリスタル
⑥【5勝1敗】⑦M・H⑧1回目
⑨元リアルファイトライト級王者
元グレネードライト級王者
🆚
🟦 ①マルコ・フレイザー
②逆襲の疾風レスラー
③32歳④170cm⑤ユーリンジム
⑥【9勝2敗】⑦エンペラー⑧2回目
⑨元アルバトロスライト級王者
元エンペラーライト級王者
⑩ブルーワン



#アラカク 
#あらかく
#格闘技 
#架空
 #クロコップ
#MMA",2026-05-28T20:11:42
3jBGtu-PKEU,https://www.youtube.com/watch?v=3jBGtu-PKEU,【ローリングJr.vsぱいそんはやし】マウンテン・ヒーローズNo.38ミドル級ワンマッチ（クロコップ荒木の実況付きFull Fight！！）,アラカク通信,20251214,18:17,42,,"マウンテン・ヒーローズNo.38

☆ミドル級ワンマッチ
🟥ローリングJr.29歳186cmチームハーツ【5勝3敗】🆚
🟦ぱいそんはやし
26歳 188cm コミックファイト倶楽部
【メジャーデビュー戦】


#アラカク #あらかく #格闘技 #架空 #クロコップ #mma",2026-05-28T20:11:42
3k_jStTv5WI,https://www.youtube.com/watch?v=3k_jStTv5WI,Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　パットバミューダvsアイス・トロン,アラカク通信,20210906,10:23,30,1,"Full Fight！第６回 MAXバウトライト級トーナメント一回戦Ａブロック第一試合
⬇️選手情報です⬇️

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル

第６回 MAXバウトライト級トーナメント一回戦
Ａブロック第一試合

①パット・バミューダ  ②［ファントムの鬼才］
③32歳 ④173cm ⑤バルカンジム
⑥【メジャー戦績無し】⑦ファントム⑧1回目
⑨現ファントムライト級王者
🆚
①アイス・トロン  ②［ミスターエンペラー］
③44歳 ④173cm ⑤パーフェクトジム
⑥【42勝12敗】⑦エンペラー ⑧6回目
⑨元エンペラーライト級王者、第1回3回MAXバウトライト級トーナメント優勝、第2回4回MAXバウトライト級トーナメント準優勝

【荒木の架空の格闘技=ARAKAKU】

ARAKAKUが始まります。

ARAKAKUとは何かをこのYouTubeチャンネルで知ってもらえたら嬉しいです🥊

ARAKAKU note
https://note.com/xyz1090

ARAKAKU Twitter
https://mobile.twitter.com/ARAKAKU1



ケイダッシュステージ所属の芸人でもあります。
【クロコップ】
にんじゃりばんばん⬇️
https://youtu.be/IY1WaJ22vP0
空手家の子⬇️
https://youtu.be/RSdWBnQvynU

クロコップ荒木Twitter
https://mobile.twitter.com/@crocoparaki

#アラカク
#架空
#白グローブ",2026-05-28T20:11:42
3oa5Lu1GFAI,https://www.youtube.com/watch?v=3oa5Lu1GFAI,第7回MAXバウトライト級GP一回戦【煽り映像集】,アラカク通信,20241016,11:39,87,4,"第7回MAXバウトライト級GP一回戦の煽Vです！
（コルト・アプローvsだいなの煽りVはありません）

#アラカク
#あらかく
#格闘技
#架空 
#クロコップ
#mma",2026-05-28T20:11:42
3y5_aACiO9U,https://www.youtube.com/watch?v=3y5_aACiO9U,Full Fight！さんごくvsくわしお マウンテン・ヒーローズNo.29 ライト級ワンマッチ,アラカク通信,20230906,12:25,184,4,"マウンテン・ヒーローズNo.29

☆ライト級ワンマッチ
🟥くわしお
30歳 172cm カイザーアスリート
【9勝5敗】
🆚
🟦さんごく
30歳 168cm チームジャパン
【5勝1敗】


#アラカク
 #ARAKAKU
 #格闘技
 #架空 
#クロコップ",2026-05-28T20:11:42
41MoU0PvO8w,https://www.youtube.com/watch?v=41MoU0PvO8w,Full Fight！第６回 MAXバウトライト級トーナメント決勝　ブルーワンvsコルト・アプロー,アラカク通信,20220304,12:08,48,4,"Full Fight！第６回 MAXバウトライト級トーナメント決勝
⬇️選手情報です⬇️

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル



①ブルーワン ②［最恐ビッグウェーブ］
③25歳 ④178cm ⑤ブルーワンジム
⑥【14勝4敗】⑦エンペラー ⑧3回目
⑨元エンペラーライト級王者
🆚
①コルト・アプロー ②［マジックバイパー］
③36歳 ④175cm ⑤マジシャンズA
⑥【17勝10敗】⑦エンペラー ⑧4回目
⑨元エンペラーライト級王者



【荒木の架空の格闘技=ARAKAKU】

ARAKAKUが始まります。

ARAKAKUとは何かをこのYouTubeチャンネルで知ってもらえたら嬉しいです🥊

ARAKAKU note
https://note.com/xyz1090

ARAKAKU Twitter
https://mobile.twitter.com/ARAKAKU1



ケイダッシュステージ所属の芸人でもあります。
【クロコップ】
にんじゃりばんばん⬇️
https://youtu.be/IY1WaJ22vP0
空手家の子⬇️
https://youtu.be/RSdWBnQvynU

クロコップ荒木Twitter
https://mobile.twitter.com/@crocoparaki

#アラカク
#架空
#白グローブ",2026-05-28T20:11:42
42CA9T_Qk7Y,https://www.youtube.com/watch?v=42CA9T_Qk7Y,感謝！！！,アラカク通信,20221219,13:23,318,25,"2023年12月7日
第5回MAXバウトミドル級トーナメントベスト8抽選会お越し頂きありがとうございました‼️

🔥ベスト８対戦カードです🔥

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル⑩戦いたい相手


 ☆Aブロック第一試合
①クロノ・マリーケン
②情無しヒットマン
③ 27歳 ④183cm ⑤チームパウルソン
⑥【8勝5敗】⑦M・H⑧2回目
⑨元ケンカFCミドル級王者
⑩ギタミン・アーロン
🆚
①さかえだ
②日本ミドル級ストライキングのエース
③ 31歳 ④180cm ⑤日本MMAチーム
⑥【17勝7敗】⑦エンペラー⑧4回目
⑨なし
⑩かべい


 ☆Ａブロック第二試合
①ミサ・ウィル・ジョー
②ラスボス
③年齢35歳④身長185cm⑤所属ミサイル・ジョー
⑥メジャー戦績【11勝1敗】⑦主戦団体エンペラー⑧MAXバウト2回目
⑨元キングプロレスヘビー級王者
　現エンペラーミドル級王者
　第4回MAXバウトミドル級トーナメント優勝
⑩ブレード・アロー
🆚
①ダイス・ヴォルケード
②最強転校生
③ 31歳 ④190cm ⑤ＫＢMトップチーム
⑥【4勝1敗】⑦エンペラー⑧1回目
⑨元WKミドル級王者
　WKミドル級トーナメント優勝
　第一回Stand up無差別級トーナメント準優勝
⑩テール・ジャンク


☆Ｂブロック第一試合
①ルージュド・スターリー
②柔術ミステリー
③32④190cm⑤ゴッサブトップチーム
⑥【10勝1敗】⑦ターゲット⑧2回目
⑨現ターゲットミドル級王者
⑩ゼット
🆚
①テール・ジャンク
②Unknown
③ 30歳 ④186cm ⑤Sジム
⑥【22勝2敗】⑦M・H⑧4回目
⑨現M・Hミドル級王者
　第2回、第3回MAXバウトミドル級トーナメント優勝
⑩ミサ・ウィル・ジョー


☆Ｂブロック第二試合
①ゼット
②ブリザード
③ 31歳 ④188cm⑤RFチームクリスタル
⑥【9勝4敗】⑦M・H⑧2回目
⑨元リアルFCミドル級王者
   第4回MAXバウトミドル級ＧＰ準優勝
⑩誰でもいい
🆚
①かべい
②覇王
③26歳 ④188cm ⑤チームジャパン　
⑥【8勝3敗】⑦ターゲット⑧2回目
⑨元ジャパンファイトミドル級王者
⑩さかえだ



#アラカク
#ARAKAKU
#架空
#クロコップ
#格闘技
#家格",2026-05-28T20:11:42
48v5jmJeu1E,https://www.youtube.com/watch?v=48v5jmJeu1E,【サム・ラッシュvsわしかが】Full Fight！ターゲットNo.102 ミドル級ワンマッチ,アラカク通信,20260112,5:43,66,3,"ターゲットNo.102対戦カード

☆ミドル級ワンマッチ
🟥サム・ラッシュ
24歳 184cm ターゲットＰＪ
【1勝1敗】
🆚
🟦わしかが
21歳  190cm  はっとり道場
【メジャーデビュー戦】


#アラカク #あらかく #格闘技 #架空 #クロコップ #mma",2026-05-28T20:11:42
